1	the	4851647
2	of	2723555
3	and	2311172
4	to	2143254
5	a	1704194
6	in	1539203
7	that	794736
8	is	768083
9	was	761740
10	for	675094
11	with	574712
12	as	574254
13	The	566314
14	on	526234
15	it	507974
16	be	473246
17	by	452230
18	I	415117
19	his	393412
20	at	384248
21	he	372839
22	from	363922
23	are	351828
24	had	340652
25	not	335811
26	which	319864
27	have	316388
28	or	304387
29	were	278789
30	an	276449
31	this	261296
32	but	253456
33	you	243575
34	their	233726
35	they	225870
36	her	222397
37	has	200750
38	all	196815
39	been	193782
40	one	191513
41	will	174180
42	who	172480
43	would	171403
44	more	164257
45	In	158491
46	she	152972
47	its	152021
48	It	147255
49	up	141437
50	can	141243
51	him	141210
52	so	140606
53	out	139874
54	there	137404
55	into	137123
56	we	136011
57	when	134271
58	said	133767
59	He	133494
60	them	132123
61	about	127488
62	other	125408
63	than	122493
64	time	121014
65	no	119645
66	if	116124
67	some	115377
68	only	113508
69	also	110472
70	A	108725
71	first	106804
72	could	105073
73	two	103540
74	my	102765
75	what	98272
76	over	95858
77	such	94085
78	do	92207
79	This	92107
80	may	91726
81	me	91429
82	any	89811
83	like	88277
84	then	87951
85	But	87381
86	after	84098
87	very	83620
88	most	83375
89	these	82818
90	new	81847
91	made	78978
92	your	78886
93	people	77616
94	now	77380
95	between	73785
96	should	73479
97	where	73069
98	years	71867
99	many	71233
100	being	70937
101	our	69074
102	before	68543
103	through	68369
104	much	67607
105	way	67269
106	work	63546
107	those	63464
108	did	63331
109	well	62902
110	down	62248
111	back	61892
112	just	61275
113	see	60252
114	even	60001
115	because	59512
116	own	58840
117	They	58507
118	She	58351
119	little	58101
120	And	57790
121	make	57217
122	There	55932
123	must	55216
124	good	53014
125	under	52753
126	man	52639
127	used	52571
128	both	52044
129	same	51881
130	how	51507
131	still	51049
132	three	50929
133	while	50212
134	use	50130
135	last	49987
136	too	49849
137	life	49696
138	against	48977
139	know	48926
140	year	48711
141	If	48347
142	We	47996
143	each	47272
144	us	47134
145	get	46984
146	Mr	46908
147	take	46738
148	long	45835
149	part	45777
150	off	45328
151	go	45292
152	day	45192
153	As	45115
154	might	43490
155	great	43415
156	never	43266
157	found	43187
158	old	42507
159	GBP	42084
160	right	41972
161	another	40812
162	place	40595
163	came	40191
164	during	40132
165	again	39730
166	without	39590
167	come	39501
168	world	39205
169	men	38456
170	For	37971
171	end	37806
172	upon	37769
173	think	37394
174	later	37182
175	You	37115
176	say	37113
177	few	36550
178	left	36446
179	number	36422
180	away	36352
181	When	35755
182	thought	35750
183	until	35747
184	home	35676
185	here	35237
186	small	34987
187	set	34806
188	different	34737
189	system	34597
190	though	34482
191	around	34382
192	since	34011
193	often	33797
194	called	33709
195	within	33627
196	always	33564
197	every	33233
198	On	33063
199	need	32956
200	went	32946
201	At	32928
202	himself	32517
203	large	32418
204	put	32388
205	took	32294
206	don't	32257
207	early	32233
208	children	32191
209	government	32120
210	does	31999
211	case	31899
212	public	31825
213	going	31604
214	less	31229
215	find	31079
216	rather	30814
217	course	30725
218	far	30582
219	known	30405
220	state	30293
221	New	30293
222	family	30073
223	given	29943
224	per	29908
225	second	29862
226	British	29791
227	th	29640
228	high	29555
229	next	29553
230	power	29421
231	became	29420
232	What	29161
233	young	29158
234	got	29156
235	however	29130
236	house	29068
237	give	29067
238	No	28862
239	school	28796
240	social	28436
241	important	28097
242	local	28082
243	best	28069
244	water	27892
245	seen	27789
246	something	27637
247	order	27625
248	form	27545
249	four	27468
250	hand	27461
251	things	27448
252	become	27428
253	want	27303
254	side	27104
255	look	27058
256	once	27057
257	His	26889
258	women	26819
259	country	26796
260	name	26773
261	--	26707
262	help	26572
263	fact	26513
264	head	26431
265	including	26312
266	having	26242
267	point	26211
268	better	26157
269	group	26065
270	began	25997
271	One	25953
272	days	25802
273	taken	25627
274	However	25430
275	face	25410
276	told	25289
277	almost	25239
278	By	25223
279	possible	25006
280	enough	24880
281	These	24868
282	information	24810
283	example	24763
284	several	24761
285	company	24752
286	United	24633
287	area	24517
288	support	24515
289	After	24514
290	ever	24206
291	least	24153
292	political	24061
293	among	24023
294	To	23973
295	says	23785
296	John	23719
297	night	23696
298	others	23678
299	general	23580
300	asked	23552
301	yet	23456
302	along	23349
303	further	23313
304	whole	23272
305	American	23201
306	business	23145
307	I'm	23087
308	am	23001
309	already	22910
310	saw	22876
311	together	22830
312	able	22799
313	war	22625
314	century	22570
315	looked	22552
316	whether	22535
317	eyes	22379
318	nothing	22326
319	quite	22318
320	room	22214
321	change	21993
322	London	21966
323	done	21898
324	That	21850
325	control	21817
326	themselves	21799
327	although	21725
328	law	21715
329	full	21691
330	So	21688
331	English	21669
332	development	21660
333	present	21513
334	money	21510
335	really	21439
336	held	21428
337	either	21388
338	times	21381
339	following	21371
340	period	21356
341	means	21208
342	making	21183
343	itself	21130
344	five	21082
345	All	20831
346	members	20829
347	father	20752
348	THE	20510
349	level	20451
350	service	20446
351	thing	20439
352	show	20413
353	Then	20200
354	it's	20198
355	mind	20097
356	line	19971
357	half	19952
358	open	19947
359	interest	19803
360	land	19743
361	States	19698
362	mother	19639
363	England	19477
364	across	19379
365	available	19316
366	main	19313
367	million	19307
368	history	19300
369	particular	19265
370	gave	19245
371	certain	19204
372	shall	19203
373	whose	19155
374	care	19143
375	towards	19116
376	body	19091
377	above	19080
378	human	19041
379	felt	19038
380	using	18968
381	major	18914
382	light	18817
383	position	18794
384	cannot	18744
385	seemed	18706
386	party	18655
387	child	18622
388	Mrs	18565
389	city	18559
390	turned	18538
391	working	18493
392	view	18437
393	game	18393
394	knew	18357
395	person	18336
396	soon	18315
397	death	18303
398	It's	18290
399	result	18282
400	didn't	18273
401	market	18263
402	book	18230
403	keep	18159
404	kind	18137
405	brought	18107
406	white	17966
407	S	17956
408	round	17951
409	common	17941
410	past	17889
411	why	17887
412	tell	17852
413	words	17768
414	process	17707
415	age	17703
416	Some	17678
417	top	17671
418	late	17565
419	problem	17547
420	question	17538
421	clear	17473
422	behind	17463
423	God	17448
424	building	17428
425	cent	17398
426	months	17321
427	South	17270
428	provide	17179
429	based	17151
430	With	17036
431	matter	17007
432	led	16973
433	French	16971
434	likely	16965
435	run	16898
436	services	16880
437	near	16861
438	terms	16796
439	team	16784
440	sense	16777
441	real	16726
442	woman	16726
443	perhaps	16720
444	areas	16713
445	problems	16706
446	anything	16704
447	six	16701
448	play	16574
449	black	16561
450	love	16459
451	due	16389
452	close	16370
453	feel	16328
454	week	16316
455	idea	16197
456	hard	16185
457	series	16157
458	effect	16144
459	C	16111
460	experience	16062
461	short	16053
462	lost	15985
463	door	15977
464	m	15968
465	free	15874
466	evidence	15811
467	future	15811
468	single	15778
469	study	15677
470	turn	15667
471	let	15660
472	air	15641
473	health	15590
474	policy	15587
475	seems	15543
476	believe	15440
477	heard	15384
478	nature	15370
479	subject	15319
480	moment	15317
481	therefore	15307
482	War	15293
483	looking	15208
484	necessary	15181
485	action	15172
486	include	15152
487	language	15139
488	hands	15128
489	true	15103
490	third	15058
491	groups	15037
492	live	15020
493	whom	15017
494	return	15012
495	difficult	15008
496	education	15007
497	big	14986
498	word	14981
499	particularly	14966
500	national	14965
501	various	14956
502	taking	14930
503	former	14917
504	especially	14907
505	front	14863
506	usually	14860
507	West	14847
508	Now	14837
509	wanted	14830
510	World	14727
511	special	14694
512	Act	14680
513	economic	14658
514	similar	14638
515	probably	14614
516	cases	14607
517	reason	14582
518	outside	14520
519	strong	14496
520	community	14495
521	individual	14438
522	range	14411
523	role	14405
524	National	14383
525	p	14369
526	class	14343
527	built	14339
528	European	14327
529	ground	14255
530	Britain	14228
531	sure	14193
532	received	14127
533	call	14068
534	sometimes	14038
535	added	14013
536	start	13976
537	provided	13947
538	required	13946
539	leave	13915
540	mean	13889
541	read	13878
542	doing	13863
